Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,Survey ID,visited_before,how_many_past_visits,What words or phrases on this list do you most associate with George Washington? Select all that apply.,,,,,,,,,,,,,,,,George Washington’s choices and actions affected many people who lived during his time,People living at the same time as George Washington influenced the choices he made,People in the past had the same values and beliefs as people today,George Washington's choices and actions do not affect the world today,The choices and actions of ordinary people from George Washington’s lifetime influenced the world today,George Washington was able to set his emotions aside to make important decisions,People and societies' beliefs and values change over time,Other (please specify),perceptions GW actions,One very important decision George Washington is remembered for was stepping away from the role of president when he could have been elected again.  How do you think George Washington felt when he stepped down as president? Why do you think he felt what way?,Imagine George Washington decided to stay president instead of stepping away from the role of president.  How do you think our world might be different today?  Anything else?,I do not think regular people can do much to make their community a better place,I think public figures can make the world a better place,I am inspired by the actions of regular people from the past to make the world a better place,I am inspired by in the actions of public figures from the past to make the world a better place,[TREATMENT ONLY] What was the highlight of your visit?  Tell me why that was the highlight.,[TREATMENT ONLY] What did you think about or learn at Mount Vernon that is relevant or inspiring to you?,I thought Mount Vernon presented information about the past from many different people's perspectives,I will tell my friends or family about my visit to Mount Vernon,I thought Mount Vernon was boring,I was surprised at how much I didn't know about George Washington and his life,I thought Mount Vernon was fun,I felt frustrated while visiting Mount Vernon,I'm curious to learn more about how George Washington influenced the world today,I felt amazed by Mount Vernon,I learned a lot more about hired workers and enslaved individuals at Mount Vernon than I expected,Visited GW house inside,Visited GW house outside,Visited slave quarters,Visited outbuildings,Visited farm,Visited Museum Ed Center,Saw live animals,Visited gardens orchards,Visited new tomb,Visited slave memorial,Visited Gristmill or Distillery,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,Watched one of the movies in the Museum or Education Center,Ate at the food court,Ate at the food truck,Ate at Mount Vernon Inn restaurant,Visited the shops,Attended a wreath laying or flag raising,Activity cart/discovery station,Hands on History Room,Took a picture of something I thought was interesting,,What is your favorite subject to learn about? Select one:,,Are you part of any clubs or youth organizations?,How old are you?,What state do you live in?,[If VA or MD] what city do you live in? ,Study group,Observed Gender:,Only child in group,Group included child(ren) 0-3,Group included child(ren) 4-7,Group included child(ren) 8-10 (other than interviewee),Group included child(ren) 11-14,Group included child(ren) 15-17,Day ,Date,Time ,Data Collector:,,Any programs happening?,,Other Notes
1.14E+11,421179304,9/30/2022 14:49,9/30/2022 16:00,69.255.24.203,,SM122,"No, I have not visited before today [skip to Q3]",,,General,,,,,,,,,Advocate for religious freedom,Husband/family man,,,,,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,,Mostly positive and a little negative,Good I guess...I haven't studied a lot about George Washington. So he could fight for freedom. I'm not sure if he did that before or after being president.,"There would be a lot more fights in the world, and people would still fight on farms and against each other.",Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,Yes,8,North Carolina,,Control (entry),Boy,,,,,,Group included child(ren) 15-17,Weekday,7/18/2022,Morning,SM,,No,,"For question 3 child considered selecting the word ""President"" and stated ""I'm not sure if he was president or not, I don't know much about GW or that time."" He didn't select ""president."" Child did say he has a love for history because he read a book and watched a movie about Christopher Columbus that he really loved."
1.14E+11,421179304,9/30/2022 14:49,9/30/2022 15:56,69.255.24.203,,SM121,"No, I have not visited before today [skip to Q3]",,President,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,,All positive,"He felt okay, not sure why he felt okay.",It would be different.,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Almost falling asleep in the museum, I needed a break.","A key in the mansion that GW got to a jail cell, it was big and I liked it.",Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,George Washington’s house (went inside),George Washington’s house (viewed from outside),,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),,Visited the gardens and orchards,,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,,,,Ate at the food court,,,,,Activity cart/discovery station,,Took a picture of something I thought was interesting,,Science and nature,,Yes,9,Michigan,,Treatment (exit),Boy,,,Group included child(ren) 4-7,,Group included child(ren) 11-14,,Weekday,7/13/2022,Afternoon,SM,,No,,"Mom seemed unsatisfied with some of child's responses, re-explained some questions as if to get child to modify answer - this really didn't seem to have much effect except for 4c."
1.14E+11,421179304,9/30/2022 14:49,9/30/2022 15:52,69.255.24.203,,SM120,"No, I have not visited before today [skip to Q3]",,President,General,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,,Mostly positive and a little negative,"I think he gave it up for some important reasons. He felt Proud, we don't know why he gave up being president.","The world would be better today, it could also change history.",Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,"GW's room, the 2nd room you walk into, it has a lot of paintings and I like paintings.",That GW died in his bed.,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,,,,,,,Visited the shops,,,,Took a picture of something I thought was interesting,,Sports,,Yes,8,Maryland,Bethesda,Treatment (exit),Boy,,,,Group included child(ren) 8-10 (other than interviewee),Group included child(ren) 11-14,Group included child(ren) 15-17,Weekday,7/13/2022,Afternoon,SM,,No,,"Data collector was inside, near exit. Line that visitors crossed was immediately in front of GW bust. Groups and families entering through doors made interview a bit loud at times, child seemed distracted at times."
1.14E+11,421179304,9/30/2022 14:49,9/30/2022 15:48,69.255.24.203,,SM119,"No, I have not visited before today [skip to Q3]",,President,General,,,,,,,Founder,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,,Mostly positive and a little negative,"He felt he did the right thing, but also sad because he still wanted to be president.","There would be more stuff GW achieved, people would recognize him for more things that he did.",Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,The tour of the mansion got to see the floor that GW actually walked on.,I finally know how GW died.,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),,,,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,,,,Ate at the food court,,,,,,,Took a picture of something I thought was interesting,,Other (please specify),Science and art,Yes,10,California,,Treatment (exit),Girl,,,,,,,Weekday,7/13/2022,Afternoon,SM,,No,,"Data collector was inside, near exit. Line that visitors crossed was immediately in front of GW bust. Groups and families entering through doors made interview a bit loud at times, child seemed distracted at times."
1.14E+11,421179304,9/30/2022 14:48,9/30/2022 15:36,69.255.24.203,,SM118,"No, I have not visited before today [skip to Q3]",,President,General,Soldier,Farmer,,,Leader,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,Mostly positive and a little negative,Felt a bit overwhelmed because he decided not to be president even though he knew he could be elected again.,All the other presidents would have long terms. The laws would change a lot.,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,"Doing a tour of the mansion, going floor by floor and seeing the different rooms.",I really don't know. (He thought for a while.),Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,,Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,,,Ate at the food court,,,Visited the shops,,,,Took a picture of something I thought was interesting,,Math and puzzles,,No,8,Florida,,Treatment (exit),Boy,Only child in group,,,,,,Weekday,7/13/2022,Afternoon,SM,,No,,"Data collector was inside, near exit. Line that visitors crossed was immediately in front of GW bust. Groups and families entering through doors made interview a bit loud at times, child seemed distracted at times."
1.14E+11,421179304,9/30/2022 14:48,9/30/2022 15:33,69.255.24.203,,SM117,"No, I have not visited before today [skip to Q3]",,,General,,,,,Leader,,,,,,,,,"sometimes associate GW with ""president,"" but not often.",Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,,Mostly positive and a little negative,"Probably knew that he has set the nation in line for the future, he knew that whoever came after him would be able to run the country smoothly. He felt relaxed to spend time with his family.",Thomas Jefferson might not have become president at all. GW would have done a lot more political things. The stuff that TJ did wouldn't have happened.,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Seeing the GW tomb because I wanted to pay my respect to the very first U.S. president.,"There was something, the pedestal, for all the slaves that worked there. ",Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,,Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,,Learned about the enslaved and hired people who lived and worked at Mount Vernon,,Watched the introductory movie at the Orientation Center,,,,,Visited the shops,,,,Took a picture of something I thought was interesting,,Science and nature,,Yes,9,"New South Wales, Australia",,Treatment (exit),Girl,,,,,Group included child(ren) 11-14,Group included child(ren) 15-17,Weekday,7/13/2022,Afternoon,SM,,No,,"Data collector was inside, near exit. Line that visitors crossed was immediately in front of GW bust. Groups and families entering through doors made interview a bit loud at times, child seemed distracted at times."
1.14E+11,421179304,9/30/2022 14:48,9/30/2022 15:27,69.255.24.203,,SM116,"No, I have not visited before today [skip to Q3]",,,,,,,Entrepreneur,Leader,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,,Mostly positive and a little negative,"Less overwhelmed because he didn't have so many jobs to do, he wanted to let other people have a chance.","Whoever was 2nd president, they would have gone later, that would have changed.",Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Going into the mansion, seeing rooms, wallpaper. It was a unique house.","Likes that lots of people were asking questions, that inspired me to ask questions.",Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,,,,Ate at Mount Vernon Inn restaurant,Visited the shops,,,,Took a picture of something I thought was interesting,,Science and nature,,Yes,10,North Carolina,,Treatment (exit),Girl,,,,Group included child(ren) 8-10 (other than interviewee),,,Weekday,7/13/2022,Afternoon,SM,,No,,"Data collector was inside, near exit. Line that visitors crossed was immediately in front of GW bust. Groups and families entering through doors made interview a bit loud at times, child seemed distracted at times."
1.14E+11,421179304,9/30/2022 14:48,9/30/2022 15:24,69.255.24.203,,SM115,"No, I have not visited before today [skip to Q3]",,President,,Soldier,,,,Leader,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,,All positive,"A little sad/happy - staying with family made him happy, but he was sad he wasn't president anymore.","GW would have been president twice, and that would have been cool.",Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Seeing GW's sword and Martha's dresser. It's surprising that they found it.,Watching the U.S. War movie.,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,,Visited Washington’s New Tomb,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,,,Watched one of the movies in the Museum or Education Center,Ate at the food court,,,Visited the shops,,,Hands on History Room,Took a picture of something I thought was interesting,,Art and culture,,No,7,Florida,,Treatment (exit),Girl,Only child in group,,,,,,Weekday,7/13/2022,Afternoon,SM,,No,,"Adult with group had to define or re-explain certain words or concepts for child (including multiple statement in question #4). Adult did not influence child's responses, just explained so child could fully comprehend."
1.14E+11,421179304,9/30/2022 14:48,9/30/2022 15:20,69.255.24.203,,SM114,"No, I have not visited before today [skip to Q3]",,President,,Soldier,,Slave Owner,,,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,,Mostly positive and a little negative,"He wanted to show people that you don't have to have power, you don't need to be king to have power.",I'm not sure things would be different at all.,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,The food court and the flag thing with two staff.,Learned how GW got his money - inherited from family.,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,George Washington’s house (went inside),George Washington’s house (viewed from outside),,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),,,,,,Learned about George Washington’s life and family,,,,,,Ate at the food court,,,Visited the shops,,Activity cart/discovery station,,Took a picture of something I thought was interesting,,Other (please specify),Art and Sport,Yes,8,Nevada,,Treatment (exit),Boy,,,,Group included child(ren) 8-10 (other than interviewee),,,Weekday,7/13/2022,Afternoon,SM,,No,,"Data collector was inside, near exit. Line that visitors crossed was immediately in front of GW bust. Groups and families entering through doors made interview a bit loud at times, child seemed distracted at times."
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 13:59,69.255.24.203,,LG069,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,,,I'm not sure,,,,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,Mostly positive and a little negative,I think he felt pretty good and pretty bad because he probably like being a President and it probably made him tired so that's why he stopped being President.,I think it is different because he changed a lot of things and people liked how he changed things.,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,When we went to the house to see everything. It's good to see something to learn to see Washington's house.,Thought about how it used to be before I was alive because they didn't have sinks and didn't use them and it might have annoyed them.,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,,,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,,Watched the introductory movie at the Orientation Center,Watched one of the movies in the Museum or Education Center,Ate at the food court,,,Visited the shops,,,,Took a picture of something I thought was interesting,,Sports,,Yes,9,Connecticut,,Treatment (exit),Boy,,,,,Group included child(ren) 11-14,Group included child(ren) 15-17,Weekday,6/30/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 13:52,69.255.24.203,,LG068,"No, I have not visited before today [skip to Q3]",,,,,Farmer,Slave Owner,,Leader,,,,,Husband/family man,,,,,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,,Somewhat positive and somewhat negative,Feel like he could have done better. I don't know (mom interjected),Maybe like Black African Americans could have still been enslaved.,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,George Washington's house because it was lots of his rooms and how many people lived inside.,That once you do something it'll keep going - like the garden.,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),,,Visited the farm (near the riverfront),,Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,,Ate at the food court,,,Visited the shops,,,,Took a picture of something I thought was interesting,,Art and culture,,Yes,11,Florida,,Treatment (exit),Girl,,,,,,Group included child(ren) 15-17,Weekday,6/30/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 13:49,69.255.24.203,,LG067,"No, I have not visited before today [skip to Q3]",,President,,,,Slave Owner,,Leader,,Founder,,,,,,,,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,,Mostly positive and a little negative,Not as pressured because as President you have to do a lot of different things that when you're not they're not as important.,Not very different.,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,The sheep. They were adorable.,I just learned that it was George Washington's house.,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,Watched one of the movies in the Museum or Education Center,,,,Visited the shops,,,,Took a picture of something I thought was interesting,,Art and culture,,Yes,11,Washington,,Treatment (exit),Girl,,,Group included child(ren) 4-7,,,,Weekday,6/30/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 12:55,69.255.24.203,,LG058,"Yes, I have visited before",1 time,,,,,,,,Surveyor,,Innovator,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,All positive,Happy because he didn't have to deal with all the paperwork.,Presidents could always be elected.,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Seeing the house, because you get to see a big mansion, Obelisk.",That his wife died from a disease.,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,Watched one of the movies in the Museum or Education Center,,,,,,,,Took a picture of something I thought was interesting,,Sports,,Yes,7,Virginia,Herndon,Treatment (exit),Boy,Only child in group,,,,,,Weekday,6/24/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 12:51,69.255.24.203,,LG057,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,Advocate for religious freedom,Husband/family man,,,,,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,All positive,"Sad, because he missed the opportunity of being elected again.",Positive. Because he could have changed some things there were maybe wrong.,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Everything! Just like the history.,"I learned that he was 6'2"" and also knowing he died peacefully and happy",Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,Visited Washington's gristmill and whiskey distillery  (located offsite),Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,,,,,Ate at Mount Vernon Inn restaurant,Visited the shops,,,,,,Science and nature,,No,11,Florida,,Treatment (exit),Girl,Only child in group,,,,,,Weekday,6/24/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 12:48,69.255.24.203,,LG056,"No, I have not visited before today [skip to Q3]",,President,General,Soldier,,Slave Owner,,Leader,,Founder,,Advocate for religious freedom,Husband/family man,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,,All positive,"Maybe a little sad, because giving up his work of honor",I don't know. [No guesses],Somewhat disagree,,,,,That they collected spoons,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Vermont,,Treatment (exit),Boy,,,,Group included child(ren) 8-10 (other than interviewee),,,Weekday,6/24/2022,Afternoon,LG,,No,,"Car arrived to pick them up, not enough time to finish."
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 12:42,69.255.24.203,,LG053,"No, I have not visited before today [skip to Q3]",,President,,,,Slave Owner,Entrepreneur,Leader,,,,,Husband/family man,,,,,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,Mostly positive and a little negative,Glad to have a new president. Because the people wanted someone new.,There would still be slaves.,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,The museum. I got to learn more about George Washington.,"The ""necessary""  - that it was a port-o-potty but made out of wood instead.",Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,,Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,,,Learned about George Washington’s life and family,,Learned about the enslaved and hired people who lived and worked at Mount Vernon,,,,,,,,,,,Took a picture of something I thought was interesting,,Art and culture,,No,10,Michigan,,Treatment (exit),Girl,,Group included child(ren) 0-3,Group included child(ren) 4-7,Group included child(ren) 8-10 (other than interviewee),,,Weekday,6/24/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 12:25,9/28/2022 12:35,69.255.24.203,,LG049,"No, I have not visited before today [skip to Q3]",,President,General,,,,,Leader,Surveyor,Founder,,,,,,,,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,,All positive,I think he was excited. I think he was exhausted from leading the country and wanted to retire and have a good life.,I think we'd have  lot longer Presidents and be less change overall. Might not have had the Louisiana Purchase.,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,Yes,15,Utah,,Control (entry),Boy,,,Group included child(ren) 4-7,,,,Weekday,6/13/2022,Afternoon,LG,,No,,Looked way younger than his age!
1.14E+11,421179304,9/28/2022 11:10,9/28/2022 12:33,69.255.24.203,,LG048,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,Founder,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,,Mostly positive and a little negative,"Felt like he probably felt that he shouldn't take power, because everything he did was for his country not just to be president, but for his country to go well.","Definitely a lot. Power would have gone to Presidents instead of Congress and people would have had longer terms, maybe 4 or 8 terms.",Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,Yes,10,Massachusetts ,,Control (entry),Boy,Only child in group,,,,,,Weekday,6/13/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 11:10,9/28/2022 12:30,69.255.24.203,,LG047,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,,All positive,Nervous because it must have been hard work when he was president.,"war might still happen, maybe there wouldn't be a USA",Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Math and puzzles,,No,9,Minnesota,,Control (entry),Boy,,Group included child(ren) 0-3,Group included child(ren) 4-7,,,,Weekday,6/13/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/28/2022 11:10,9/28/2022 12:28,69.255.24.203,,LG046,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,,Husband/family man,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,,Somewhat positive and somewhat negative,Happy. [No answer for why.],"""No idea.""",Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Yes,9,Georgia,,Control (entry),Girl,,,Group included child(ren) 4-7,,,,Weekday,6/13/2022,Afternoon,LG,,No,,4d. Mom helped
